%
% Comments go after a '%' sign.
%
%
% Relation: Exoplanets Candidates Kepler
%
%
% Attributes: 39     Instances: 956
%
%

@relation Exoplanets Candidates Kepler

@attribute 'DispositionScore' numeric
@attribute 'OrbitalPeriod[days' numeric
@attribute 'OrbitalPeriodUpperUnc.[days' numeric
@attribute 'OrbitalPeriodLowerUnc.[days' numeric
@attribute 'TransitEpoch[BKJD' numeric
@attribute 'TransitEpochUpperUnc.[BKJD' numeric
@attribute 'TransitEpochLowerUnc.[BKJD' numeric
@attribute 'ImpactParamete' numeric
@attribute 'ImpactParameterUpperUnc' numeric
@attribute 'ImpactParameterLowerUnc' numeric
@attribute 'TransitDuration[hrs' numeric
@attribute 'TransitDurationUpperUnc.[hrs' numeric
@attribute 'TransitDurationLowerUnc.[hrs' numeric
@attribute 'TransitDepth[ppm' numeric
@attribute 'TransitDepthUpperUnc.[ppm' numeric
@attribute 'TransitDepthLowerUnc.[ppm' numeric
@attribute 'PlanetaryRadius[Earthradii' numeric
@attribute 'PlanetaryRadiusUpperUnc.[Earthradii' numeric
@attribute 'PlanetaryRadiusLowerUnc.[Earthradii' numeric
@attribute 'EquilibriumTemperature[K' numeric
@attribute 'InsolationFlux[Earthflux' numeric
@attribute 'InsolationFluxUpperUnc.[Earthflux' numeric
@attribute 'InsolationFluxLowerUnc.[Earthflux' numeric
@attribute 'TransitSignal-to-Nois' numeric
@attribute 'TCEPlanetNumbe' numeric
@attribute 'StellarEffectiveTemperature[K' numeric
@attribute 'StellarEffectiveTemperatureUpperUnc.[K' numeric
@attribute 'StellarEffectiveTemperatureLowerUnc.[K' numeric
@attribute 'StellarSurfaceGravity[log10(cm/s**2)' numeric
@attribute 'StellarSurfaceGravityUpperUnc.[log10(cm/s**2)' numeric
@attribute 'StellarSurfaceGravityLowerUnc.[log10(cm/s**2)' numeric
@attribute 'StellarRadius[Solarradii' numeric
@attribute 'StellarRadiusUpperUnc.[Solarradii' numeric
@attribute 'StellarRadiusLowerUnc.[Solarradii' numeric
@attribute 'RA[decimaldegrees' numeric
@attribute 'Dec[decimaldegrees' numeric
@attribute 'Kepler-band[mag]' numeric
@attribute 'ExoplanetCandidate' numeric
@attribute 'ExoplanetConfirmed' numeric

@data
0.0,62.060783,0.00222,-0.00222,134.4944,0.035,-0.035,0.928,0.013,-0.653,28.203,0.777,-0.777,473.0,26.6,-26.6,2.11,0.5,-0.17,400.0,6.07,4.63,-1.57,19.9,1.0,5526.0,200.0,-183.0,4.578,0.045,-0.144,0.784,0.185,-0.062,287.24524,38.68808,15.745,0,0
0,16.8282542,0.000287,-0.000287,296.233,0.011,-0.011,0.7071,0.0434,-0.4711,39.098,0.462,-0.462,655.0,12.6,-12.6,2.66,0.76,-0.22,668.0,46.95,38.99,-12.28,78.3,0,5575.0,141.0,-180.0,4.496,0.039,-0.229,0.972,0.279,-0.08,291.92963,39.067108,14.889,0,0
1.0,14.7966306,0.000126,-0.000126,142.74484,0.00641,-0.00641,0.182,0.269,-0.182,5.613,0.181,-0.181,56.1,2.7,-2.7,0.98,0.16,-0.1,874.0,138.25,64.27,-36.42,22.4,1.0,6175.0,110.0,-134.0,4.299,0.072,-0.108,1.307,0.22,-0.135,281.83533,44.155918,11.714,1,2
0.0,18.0196514,7.9e-07,-7.9e-07,148.6673673,3.63e-05,-3.63e-05,0.675,0.01,-0.009,5.08572,0.00156,-0.00156,177000.0,71.9,-71.9,31.77,4.53,-1.93,544.0,20.7,9.69,-4.31,3373.3,1.0,5278.0,157.0,-141.0,4.658,0.033,-0.083,0.659,0.094,-0.04,296.45999,43.28553,14.928,0,0
0.0,49.78861301,6.94e-06,-6.94e-06,175.192714,0.000114,-0.000114,0.753,0.033,-0.044,7.41807,0.00716,-0.00716,219000.0,165.0,-165.0,32.57,1.62,-2.1,271.0,1.28,0.27,-0.25,1566.8,1.0,3892.0,86.0,-86.0,4.708,0.036,-0.021,0.542,0.027,-0.035,291.1601,37.761101,15.591,0,0
0.921,5.204286663,6.14e-06,-6.14e-06,135.885314,0.000969,-0.000969,0.272,0.11,-0.155,6.2598,0.0678,-0.0678,35200.0,275.0,-275.0,16.0,2.56,-2.11,934.0,180.12,94.3,-60.46,153.0,1.0,5332.0,167.0,-167.0,4.471,0.108,-0.12,0.86,0.138,-0.113,291.09161,42.058479,15.424,0,0
0.0,5.663621501,6.71e-06,-6.71e-06,133.89009,0.00105,-0.00105,0.169,0.27,-0.169,1.2968,0.0371,-0.0371,1230.0,36.0,-36.0,2.47,0.24,-0.19,774.0,84.76,29.76,-20.31,39.8,1.0,4917.0,148.0,-133.0,4.601,0.036,-0.054,0.723,0.069,-0.057,284.79102,45.228989,15.444,0,0
0,244.60373,0.0115,-0.0115,230.282,0.0317,-0.0317,0.2652,0.214,-0.265,10.87,1.1,-1.1,770.0,85.8,-85.8,2.1,0.33,-0.15,235.0,0.72,0.37,-0.17,17.7,0,5166.0,161.0,-140.0,4.593,0.026,-0.107,0.771,0.123,-0.056,284.53635,48.749611,15.319,0,0
0.0,0.833980196,1.07e-06,-1.07e-06,133.68304,0.00135,-0.00135,0.547,0.203,-0.546,1.756,0.279,-0.279,261.0,9.4,-9.4,1.45,0.43,-0.14,1816.0,2562.78,2206.58,-713.31,56.9,1.0,5747.0,154.0,-171.0,4.53,0.048,-0.192,0.871,0.256,-0.085,295.87634,42.364819,14.657,0,0
0,5.8957069,0.000258,-0.000258,136.3002,0.0392,-0.0392,1.3087,0.0152,-0.0924,56.84,5.2,-5.2,130.0,9.3,-9.3,32.41,13.3,-2.85,1002.0,238.37,287.32,-63.3,24.1,1.0,5956.0,154.0,-183.0,4.504,0.04,-0.04,0.934,0.384,-0.082,298.4595,40.16156,14.087,0,0
0.0,11.03571773,2.51e-05,-2.51e-05,137.28413,0.00316,-0.00316,0.911,0.047,-0.051,5.62958,0.00726,-0.00726,145000.0,167.0,-167.0,70.42,18.8,-20.6,991.0,227.54,186.19,-128.95,959.6,1.0,6201.0,197.0,-219.0,4.213,0.258,-0.172,1.23,0.328,-0.36,293.3472,46.25544,14.916,0,0
1.0,7.24022418,1.67e-05,-1.67e-05,355.01243,0.00175,-0.00175,0.507,0.389,-0.314,2.9153,0.0506,-0.0506,865.0,19.7,-19.7,2.14,0.14,-0.08,716.0,62.1,14.23,-9.37,48.2,1.0,4955.0,100.0,-100.0,4.61,0.018,-0.046,0.721,0.047,-0.029,288.53867,40.61615,15.565,1,2
1.0,5.72812616,2.08e-05,-2.08e-05,135.18066,0.00296,-0.00296,0.22,0.233,-0.22,2.0295,0.0874,-0.0874,643.0,35.2,-35.2,1.38,0.09,-0.08,569.0,24.74,5.35,-4.58,20.8,1.0,3968.0,79.0,-79.0,4.714,0.03,-0.03,0.548,0.033,-0.033,282.72406,44.34647,15.95,1,2
0.0,302.3886782,8.6e-05,-8.6e-05,309.18675,0.000224,-0.000224,1.134,0.306,-0.132,3.1229,0.0138,-0.0138,41300.0,171.0,-171.0,40.73,3.42,-2.75,238.0,0.76,0.21,-0.15,294.8,1.0,5328.0,106.0,-106.0,4.499,0.066,-0.06,0.857,0.072,-0.058,301.70923,44.281792,14.041,0,0
0.0,7.44042933,1.91e-05,-1.91e-05,134.76331,0.00206,-0.00206,0.968,0.077,-0.644,2.991,0.335,-0.335,547.0,23.4,-23.4,2.74,0.77,-0.26,883.0,144.12,118.76,-39.32,34.0,1.0,5815.0,157.0,-175.0,4.54,0.046,-0.196,0.877,0.246,-0.082,296.30762,44.21146,15.24,0,0
0.978,10.7781558,0.000186,-0.000186,134.7939,0.0129,-0.0129,0.009,0.433,-0.009,3.005,0.413,-0.413,121.0,19.0,-19.0,1.24,0.43,-0.14,942.0,186.22,189.44,-58.93,7.9,1.0,6386.0,173.0,-211.0,4.402,0.067,-0.216,1.123,0.389,-0.13,292.9603,48.7005,15.267,1,1
0.0,2.63009438,1.25e-05,-1.25e-05,132.22517,0.00437,-0.00437,1.195,0.446,-0.105,11.226,0.23,-0.23,389.0,6.8,-6.8,25.55,8.26,-2.77,1480.0,1135.97,1053.25,-346.37,69.4,1.0,6338.0,153.0,-210.0,4.418,0.067,-0.216,1.091,0.353,-0.118,294.39557,50.719589,14.651,0,0
0.579,11.615625,0.000153,-0.000153,131.96843,0.00823,-0.00823,0.977,0.007,-0.705,2.233,0.362,-0.362,191.0,28.0,-28.0,2.84,0.43,-1.0,905.0,158.69,65.4,-95.39,8.8,2.0,5332.0,88.0,-72.0,4.083,0.368,-0.092,1.453,0.218,-0.51,293.52756,41.111439,15.162,1,1
0.0,2.897829967,1.99e-07,-1.99e-07,132.6047388,5.81e-05,-5.81e-05,0.756,0.17,-0.002,3.17788,0.0031,-0.0031,163000.0,87.9,-87.9,54.35,15.8,-8.48,1454.0,1054.79,934.22,-412.92,1305.8,1.0,6318.0,199.0,-244.0,4.366,0.124,-0.186,1.077,0.313,-0.168,288.32922,43.965279,13.648,0,0
1.0,1.260258822,6.75e-07,-6.75e-07,170.408984,0.000422,-0.000422,0.791,0.002,-0.54,1.8594,0.0181,-0.0181,1130.0,10.1,-10.1,3.57,0.94,-0.3,1569.0,1435.82,1145.82,-379.55,128.2,1.0,5550.0,166.0,-183.0,4.5,0.046,-0.184,0.954,0.252,-0.079,288.32791,47.381592,15.342,1,2
0.999,6.11010439,4.64e-05,-4.64e-05,136.91214,0.00587,-0.00587,0.284,0.175,-0.284,2.314,0.182,-0.182,59.7,5.9,-5.9,0.93,0.15,-0.05,1125.0,378.84,168.53,-70.64,11.8,1.0,6213.0,112.0,-137.0,4.387,0.03,-0.113,1.195,0.191,-0.068,294.91156,46.491459,12.716,1,2
0.001,2.4681015,1.41e-05,-1.41e-05,132.07692,0.0049,-0.0049,0.689,0.241,-0.461,2.83,0.183,-0.183,173.0,9.7,-9.7,1.22,0.27,-0.15,1244.0,564.74,389.07,-178.09,22.1,1.0,5516.0,166.0,-166.0,4.466,0.1,-0.15,0.872,0.196,-0.105,298.84979,44.615009,14.874,0,0
0.323,362.13187,0.013,-0.013,369.541,0.0235,-0.0235,0.397,0.069,-0.397,5.59,1.2,-1.2,849.0,134.0,-134.0,2.23,0.28,-0.21,208.0,0.45,0.19,-0.12,8.2,1.0,5176.0,153.0,-153.0,4.567,0.048,-0.072,0.766,0.097,-0.071,283.29706,48.266628,15.313,1,1
1.0,2.433703498,8.97e-06,-8.97e-06,133.83759,0.00279,-0.00279,0.952,0.01,-0.647,0.975,0.141,-0.141,258.0,35.8,-35.8,1.66,0.24,-0.12,1112.0,362.64,171.67,-89.31,10.2,2.0,5251.0,158.0,-158.0,4.592,0.032,-0.097,0.778,0.112,-0.06,286.00674,38.009541,15.409,1,1
0,426.942225,0.00756,-0.00756,485.38171,0.00819,-0.00819,0.2981,0.1556,-0.2981,3.965,0.423,-0.423,1210.0,152.0,-152.0,2.32,0.33,-0.18,187.0,0.29,0.14,-0.07,11.8,1.0,5126.0,152.0,-139.0,4.623,0.042,-0.071,0.669,0.097,-0.052,288.78986,45.727459,15.218,1,1
0.998,3.76562031,1.13e-05,-1.13e-05,131.75562,0.00245,-0.00245,1.193,63.73,-0.062,1.288,0.16,-0.16,233.0,21.0,-21.0,19.39,5.21,-1.73,1084.0,326.2,257.66,-83.59,14.6,1.0,5743.0,155.0,-155.0,4.553,0.033,-0.176,0.853,0.229,-0.076,294.96811,49.556511,14.698,1,1
0.0,11.63785889,1.49e-06,-1.49e-06,136.885517,0.000107,-0.000107,0.473,0.004,-0.002,11.8851,0.00605,-0.00605,428000.0,196.0,-196.0,77.01,24.7,-8.81,895.0,151.54,143.16,-49.76,2637.0,1.0,6360.0,176.0,-242.0,4.433,0.067,-0.216,1.058,0.339,-0.121,290.18271,41.21664,15.385,0,0
0.0,2.31164074,1.05e-05,-1.05e-05,132.12133,0.0029,-0.0029,0.252,0.194,-0.251,2.317,0.126,-0.126,489.0,24.8,-24.8,39.73,1.66,-14.9,4074.0,65140.27,10541.54,-43990.64,24.6,1.0,4883.0,84.0,-219.0,2.439,0.035,-0.031,18.427,0.769,-6.918,287.8613,38.372292,13.041,0,0
0.0,40.8792243,0.000395,-0.000395,163.41583,0.00807,-0.00807,0.79,0.151,-0.563,7.005,0.207,-0.207,414.0,20.2,-20.2,1.62,0.25,-0.14,437.0,8.59,4.37,-2.21,23.4,1.0,5383.0,160.0,-160.0,4.609,0.039,-0.091,0.72,0.114,-0.061,292.36026,42.398022,14.923,0,0
0.997,14.20442616,6.29e-05,-6.29e-05,142.7332,0.00345,-0.00345,0.011,0.433,-0.011,3.898,0.104,-0.104,801.0,33.3,-33.3,1.9,0.3,-0.12,602.0,31.1,16.7,-7.29,26.7,1.0,5350.0,193.0,-171.0,4.647,0.03,-0.096,0.678,0.105,-0.045,289.56866,43.538609,15.469,1,2
1.0,15.86624787,6.81e-05,-6.81e-05,141.08734,0.00323,-0.00323,0.858,0.096,-0.594,4.25,0.0941,-0.0941,77.3,2.9,-2.9,1.31,0.06,-0.05,879.0,141.18,19.99,-18.5,28.4,1.0,6099.0,79.0,-85.0,4.193,0.016,-0.018,1.308,0.054,-0.054,285.47659,41.632717,11.049,1,2
0.0,0.996023763,6.77e-06,-6.77e-06,132.16613,0.00564,-0.00564,1.147,0.341,-0.163,5.412,0.461,-0.461,98.3,5.9,-5.9,18.36,5.97,-2.56,1991.0,3727.96,3683.65,-1333.18,21.3,1.0,6110.0,193.0,-214.0,4.387,0.09,-0.21,1.077,0.35,-0.15,298.56668,40.128239,14.705,0,0
0.0,1.332560589,2.18e-06,-2.18e-06,133.38311,0.0013,-0.0013,0.009,0.243,-0.009,4.2427,0.0452,-0.0452,567.0,6.3,-6.3,1.4,0.13,-0.11,1086.0,330.32,114.05,-81.13,108.8,1.0,4489.0,134.0,-134.0,4.662,0.04,-0.036,0.609,0.057,-0.047,295.18561,46.786709,15.036,0,0
0,7.2929891,0.000174,-0.000174,135.6364,0.0206,-0.0206,0.022,0.4125,-0.0217,4.053,0.946,-0.946,72.5,13.9,-13.9,0.73,0.25,-0.06,904.0,158.19,155.12,-39.48,7.1,0,5959.0,148.0,-171.0,4.549,0.031,-0.252,0.856,0.291,-0.07,293.43079,46.692089,14.829,1,1
0.0,1.080695116,6.23e-06,-6.23e-06,131.86822,0.00525,-0.00525,0.62,0.143,-0.137,7.449,0.107,-0.107,313000.0,3150.0,-3150.0,155.22,28.9,-53.7,3344.0,29671.05,17565.38,-18972.82,198.8,1.0,7796.0,244.0,-325.0,3.937,0.28,-0.12,2.34,0.436,-0.81,291.297,49.244469,14.355,0,0
0.0,9.44942628,2.08e-05,-2.08e-05,132.45174,0.00177,-0.00177,1.217,10.07,-0.156,6.3064,0.091,-0.091,1210.0,17.2,-17.2,75.22,27.8,-51.6,1192.0,476.13,540.49,-433.99,81.1,2.0,5092.0,168.0,-137.0,3.689,0.848,-0.283,2.664,0.984,-1.827,286.28629,43.615978,13.819,0,0
0.0,0.58675746,1.64e-06,-1.64e-06,131.75424,0.00247,-0.00247,1.183,3.021,-0.12,1.508,0.155,-0.155,144.0,10.1,-10.1,19.91,5.01,-2.14,2157.0,5080.59,3770.63,-1543.13,18.4,1.0,5942.0,160.0,-196.0,4.506,0.046,-0.184,0.938,0.236,-0.101,287.82877,42.061642,15.509,0,0
0.0,345.1846728,0.000104,-0.000104,228.840845,0.000201,-0.000201,1.179,0.2,-0.104,6.5468,0.0123,-0.0123,30000.0,51.2,-51.2,44.91,12.4,-6.71,257.0,1.03,0.85,-0.38,687.5,1.0,5712.0,169.0,-186.0,4.424,0.105,-0.18,0.971,0.269,-0.145,286.71182,40.528542,14.023,0,0
0,21.131609,0.00114,-0.00114,139.7493,0.081,-0.081,0.0731,0.3612,-0.0731,13.66,4.5,-4.5,73.5,18.6,-18.6,0.94,0.0,0.0,659.0,44.45,0.0,0.0,6.5,0,5780.0,0,0,4.438,0,0,1.0,0,0,294.20786,39.680115,13.482,0,0
0.944,7.51731745,9.55e-05,-9.55e-05,137.59704,0.00935,-0.00935,0.256,0.193,-0.256,2.484,0.27,-0.27,171.0,19.2,-19.2,1.19,0.15,-0.07,861.0,129.74,42.31,-21.99,10.7,1.0,5525.0,74.0,-83.0,4.488,0.045,-0.105,0.923,0.112,-0.056,298.75836,41.631031,15.029,1,1
0,449.57274,0.0185,-0.0185,153.3061,0.0206,-0.0206,0.2059,0.2424,-0.2057,9.328,0.876,-0.876,221.0,25.7,-25.7,3.08,1.45,-1.41,333.0,2.89,4.24,-2.14,14.1,0,5691.0,195.0,-170.0,3.842,0.446,-0.255,2.079,0.973,-0.951,289.43906,41.492977,13.679,0,0
0.0,420.9292036,8.63e-05,-8.63e-05,196.685958,0.000164,-0.000164,1.033,0.053,-0.048,17.3985,0.0109,-0.0109,86000.0,57.1,-57.1,62.76,18.7,-10.1,293.0,1.74,1.51,-0.66,1740.2,1.0,6461.0,162.0,-211.0,4.319,0.105,-0.195,1.197,0.357,-0.192,290.93896,38.119572,13.858,0,0
0.053,10.32803571,3.76e-06,-3.76e-06,174.581054,0.000306,-0.000306,0.281,0.04,-0.064,7.7915,0.0272,-0.0272,16900.0,31.8,-31.8,13.28,3.64,-2.41,843.0,119.31,98.49,-48.58,636.8,1.0,5627.0,169.0,-169.0,4.359,0.18,-0.18,1.024,0.28,-0.186,287.69675,38.886452,15.646,0,0
0.0,31.02431043,1.56e-06,-1.56e-06,158.8651537,3.94e-05,-3.94e-05,1.009,0.017,-0.018,7.63621,0.00212,-0.00212,96500.0,22.3,-22.3,93.29,18.8,-28.2,783.0,88.89,54.05,-50.19,4403.8,1.0,6011.0,164.0,-164.0,3.998,0.273,-0.117,1.741,0.351,-0.527,286.15421,39.065708,12.512,0,0
0.0,17.72722648,1.11e-05,-1.11e-05,144.070402,0.000707,-0.000707,0.381,0.01,-0.013,4.1376,0.0118,-0.0118,147000.0,201.0,-201.0,35.18,10.8,-3.62,692.0,54.32,50.97,-16.95,922.1,1.0,6021.0,190.0,-232.0,4.52,0.052,-0.208,0.895,0.276,-0.092,296.7345,39.186111,15.556,0,0
0.913,5.52507406,5.47e-05,-5.47e-05,135.15435,0.00973,-0.00973,0.152,0.299,-0.152,2.565,0.258,-0.258,61.5,7.3,-7.3,0.8,0.12,-0.08,1028.0,263.79,101.96,-65.78,9.8,1.0,5600.0,75.0,-75.0,4.378,0.11,-0.11,1.037,0.152,-0.114,284.12134,41.633072,13.692,1,1
1.0,3.4462125,1.87e-05,-1.87e-05,132.22894,0.00364,-0.00364,0.704,0.256,-0.495,2.101,0.119,-0.119,83.5,5.9,-5.9,0.7,0.08,-0.07,1015.0,251.24,99.2,-69.19,15.6,1.0,5374.0,160.0,-144.0,4.555,0.088,-0.064,0.721,0.082,-0.073,288.83136,47.551991,13.851,1,2
0.0,2.976012511,1.43e-07,-1.43e-07,132.9704424,4.02e-05,-4.02e-05,0.444,0.003,-0.002,6.52033,0.00161,-0.00161,449000.0,70.4,-70.4,79.99,17.4,-9.41,1476.0,1119.89,693.98,-339.58,3630.4,1.0,6572.0,147.0,-180.0,4.408,0.063,-0.147,1.08,0.235,-0.127,290.13269,38.51368,11.287,0,0
0.976,174.510276,0.00215,-0.00215,201.47056,0.00966,-0.00966,0.024,0.413,-0.024,6.689,0.345,-0.345,1530.0,115.0,-115.0,1.74,0.14,-0.2,186.0,0.28,0.09,-0.09,14.8,1.0,4367.0,124.0,-155.0,4.822,0.06,-0.054,0.452,0.038,-0.052,300.48816,44.46067,15.873,1,2
1.0,5.21230171,1.31e-05,-1.31e-05,132.71052,0.00203,-0.00203,0.187,0.254,-0.187,2.098,0.0639,-0.0639,430.0,16.2,-16.2,1.04,0.06,-0.11,537.0,19.7,4.28,-5.15,29.3,3.0,3716.0,73.0,-83.0,4.74,0.056,-0.024,0.506,0.031,-0.051,292.64236,44.087669,15.018,1,2
0,0.445277068,1.43e-06,-1.43e-06,133.52312,0.00252,-0.00252,1.2962,0.1082,-0.259,3.539,0.276,-0.276,187.0,7.8,-7.8,35.74,14.1,-3.49,2562.0,10177.11,11671.33,-2940.16,28.9,1.0,6167.0,156.0,-205.0,4.444,0.045,-0.264,1.064,0.419,-0.104,297.10349,47.64357,15.343,0,0
1.0,12.87471243,4.38e-06,-4.38e-06,170.022499,0.000269,-0.000269,0.932,0.007,-0.006,2.2491,0.0234,-0.0234,3860.0,29.9,-29.9,11.26,1.97,-1.97,926.0,173.5,79.09,-61.59,218.5,1.0,5963.0,80.0,-80.0,4.218,0.143,-0.117,1.424,0.249,-0.249,293.58636,42.928909,14.517,1,2
0.963,282.5253558,0.000122,-0.000122,363.071925,0.000289,-0.000289,0.248,0.05,-0.075,10.7965,0.0292,-0.0292,9750.0,16.7,-16.7,8.98,1.31,-0.47,264.0,1.15,0.47,-0.2,696.0,1.0,5725.0,102.0,-113.0,4.506,0.038,-0.113,0.913,0.133,-0.048,289.76361,51.962601,12.62,1,2
0.0,1.120997701,6e-06,-6e-06,131.48486,0.00506,-0.00506,1.114,0.021,-0.119,11.243,0.773,-0.773,146.0,7.2,-7.2,66.58,4.74,-26.9,3992.0,60096.61,16554.14,-41379.69,58.1,1.0,6720.0,180.0,-220.0,3.373,0.366,-0.065,4.845,0.345,-1.955,294.93198,39.81242,12.964,0,0
0.842,2.52557582,2.84e-05,-2.84e-05,133.06586,0.00851,-0.00851,0.372,0.084,-0.372,2.32,0.276,-0.276,35.4,4.1,-4.1,0.62,0.1,-0.04,1364.0,818.81,343.7,-145.7,10.7,1.0,5821.0,78.0,-78.0,4.421,0.054,-0.117,1.036,0.166,-0.071,293.96545,45.273571,13.564,1,1
0.889,1.28940823,1.77e-05,-1.77e-05,132.0764,0.0117,-0.0117,0.628,0.34,-0.404,3.652,0.455,-0.455,32.1,3.6,-3.6,2.48,0.45,-0.82,3112.0,22119.66,10309.76,-12840.79,10.3,1.0,5826.0,78.0,-87.0,3.465,0.252,-0.108,4.189,0.75,-1.393,283.77316,42.070862,13.897,1,1
0.552,15.5943758,0.000285,-0.000285,140.3138,0.0144,-0.0144,0.5,0.453,-0.297,7.367,0.552,-0.552,95.4,9.0,-9.0,1.08,0.34,-0.11,801.0,97.35,89.49,-29.51,11.9,4.0,6249.0,174.0,-217.0,4.428,0.054,-0.202,1.076,0.335,-0.112,286.97128,44.708302,14.456,1,1
0.993,5.75902182,4.98e-05,-4.98e-05,132.16301,0.0066,-0.0066,0.329,0.124,-0.329,2.687,0.216,-0.216,70.8,8.3,-8.3,0.91,0.28,-0.12,1112.0,362.12,326.5,-121.82,9.9,1.0,6247.0,152.0,-217.0,4.433,0.054,-0.216,1.066,0.335,-0.134,295.57159,49.607479,14.199,1,1
0.0,94.446856,0.00143,-0.00143,166.1513,0.0122,-0.0122,0.977,6.601,-0.059,7.502,0.488,-0.488,436.0,27.3,-27.3,7.13,1.87,-4.35,611.0,32.93,26.43,-28.46,20.0,1.0,5780.0,184.0,-163.0,3.729,0.672,-0.168,2.478,0.647,-1.511,297.49054,41.8326,13.939,0,0
0.0,0.562563871,2.23e-06,-2.23e-06,131.73458,0.00344,-0.00344,0.36,0.111,-0.36,1.591,0.151,-0.151,34.6,2.7,-2.7,0.69,0.22,-0.08,2626.0,11201.45,10121.63,-3505.27,16.4,1.0,6577.0,148.0,-214.0,4.381,0.07,-0.21,1.145,0.366,-0.131,293.48825,39.696331,13.54,0,0
0,138.333748,0.00169,-0.00169,209.39452,0.00792,-0.00792,0.4579,0.0084,-0.4579,2.391,0.271,-0.271,604.0,84.6,-84.6,6.28,4.32,-1.18,488.0,13.45,28.94,-5.29,8.4,1.0,4948.0,126.0,-101.0,3.588,0.168,-0.371,2.547,1.753,-0.48,284.63876,39.355179,13.419,1,1
0.0,34.52599018,4e-06,-4e-06,150.102207,0.000104,-0.000104,1.087,0.069,-0.061,4.47294,0.00471,-0.00471,67200.0,83.0,-83.0,54.35,17.3,-7.41,607.0,32.12,30.97,-11.9,1008.1,1.0,6123.0,190.0,-254.0,4.396,0.105,-0.195,1.049,0.334,-0.143,295.20386,42.43045,15.142,0,0
0.0,2.316171991,1.11e-07,-1.11e-07,132.311636,3.95e-05,-3.95e-05,0.7,0.013,-0.012,4.03025,0.00119,-0.00119,251000.0,34.7,-34.7,49.53,12.8,-3.43,1288.0,651.03,482.78,-151.34,2338.3,1.0,5932.0,141.0,-177.0,4.58,0.033,-0.176,0.795,0.206,-0.055,295.37515,42.75378,13.969,0,0
0.0,17.08120242,2.59e-06,-2.59e-06,134.296431,0.000131,-0.000131,0.915,0.031,-0.029,7.20617,0.00594,-0.00594,134000.0,105.0,-105.0,39.24,7.15,-3.05,585.0,27.61,16.63,-7.23,1524.8,1.0,5431.0,189.0,-189.0,4.623,0.035,-0.105,0.708,0.129,-0.055,287.9726,44.333611,15.863,0,0
0.0,3.411758679,9.56e-06,-9.56e-06,133.18086,0.00224,-0.00224,1.213,12.11,-0.09,3.158,0.118,-0.118,571.0,19.2,-19.2,14.71,1.42,-2.12,684.0,51.85,18.7,-18.94,35.6,1.0,3995.0,126.0,-140.0,4.71,0.071,-0.044,0.561,0.054,-0.081,298.9917,41.074989,15.258,0,0
0.0,0.822314545,0,0,131.7125281,0,0,0.447,0,0,3.3374,0,0,32.7,0,0,0.54,0.15,-0.09,1922.0,3227.02,2560.06,-1216.51,3.8,1.0,5709.0,154.0,-154.0,4.409,0.144,-0.176,0.938,0.253,-0.156,297.55054,39.565659,13.23,0,0
0.337,1.032967155,7.77e-06,-7.77e-06,131.92284,0.0057,-0.0057,0.025,0.428,-0.025,1.17,0.256,-0.256,127.0,21.6,-21.6,21.22,1.24,-7.06,5990.0,304226.71,78019.45,-207674.66,8.3,1.0,5283.0,153.0,-429.0,2.352,0.032,-0.025,18.959,1.113,-6.307,296.07492,48.8591,12.698,0,0
1.0,1.204686597,4.45e-06,-4.45e-06,131.90556,0.00323,-0.00323,0.328,0.136,-0.328,0.823,0.168,-0.168,233.0,32.9,-32.9,1.55,0.0,0.0,1711.0,2026.81,0.0,0.0,10.8,1.0,5780.0,0,0,4.438,0,0,1.0,0,0,289.67786,43.458134,11.671,1,1
0.999,130.3543929,0.000214,-0.000214,144.06022,0.00122,-0.00122,0.675,0.075,-0.251,6.474,0.143,-0.143,5130.0,59.7,-59.7,7.7,2.53,-0.84,369.0,4.36,4.22,-1.34,103.7,1.0,5970.0,163.0,-199.0,4.463,0.056,-0.224,1.015,0.334,-0.111,285.37195,41.993912,15.254,1,2
0,190.60563,0.0117,-0.0117,229.5171,0.0387,-0.0387,0.0108,0.4619,-0.0108,14.33,1.5,-1.5,154.0,19.2,-19.2,1.6,0.72,-0.34,386.0,5.25,7.18,-2.46,11.6,0,6200.0,195.0,-225.0,4.214,0.199,-0.241,1.287,0.575,-0.276,286.66867,45.208302,13.431,0,0
0,373.43233,0.0246,-0.0246,297.3505,0.0237,-0.0237,0.0802,0.3876,-0.0801,16.5,0.945,-0.945,167.0,18.4,-18.4,1.48,0.54,-0.25,290.0,1.66,1.76,-0.64,12.9,1.0,6146.0,159.0,-181.0,4.303,0.152,-0.233,1.141,0.414,-0.191,289.5531,41.056931,13.477,0,0
0,474.22897,0.0307,-0.0307,161.0544,0.0507,-0.0507,0.1936,0.2733,-0.1936,13.05,1.7,-1.7,475.0,79.7,-79.7,2.0,0.77,-0.15,225.0,0.6,0.68,-0.15,7.2,1.0,5818.0,157.0,-197.0,4.523,0.028,-0.284,0.925,0.355,-0.069,290.38223,41.757408,15.322,1,1
0,202.1872277,0,0,174.3624491,0,0,0,0,0,2.77,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0,293.45459,48.227852,13.762,1,1
