%
% Comments go after a '%' sign.
%
%
% Relation: Exoplanets Candidates Kepler
%
%
% Attributes: 39     Instances: 956
%
%

@relation Exoplanets Candidates Kepler

@attribute 'DispositionScore' numeric
@attribute 'OrbitalPeriod[days' numeric
@attribute 'OrbitalPeriodUpperUnc.[days' numeric
@attribute 'OrbitalPeriodLowerUnc.[days' numeric
@attribute 'TransitEpoch[BKJD' numeric
@attribute 'TransitEpochUpperUnc.[BKJD' numeric
@attribute 'TransitEpochLowerUnc.[BKJD' numeric
@attribute 'ImpactParamete' numeric
@attribute 'ImpactParameterUpperUnc' numeric
@attribute 'ImpactParameterLowerUnc' numeric
@attribute 'TransitDuration[hrs' numeric
@attribute 'TransitDurationUpperUnc.[hrs' numeric
@attribute 'TransitDurationLowerUnc.[hrs' numeric
@attribute 'TransitDepth[ppm' numeric
@attribute 'TransitDepthUpperUnc.[ppm' numeric
@attribute 'TransitDepthLowerUnc.[ppm' numeric
@attribute 'PlanetaryRadius[Earthradii' numeric
@attribute 'PlanetaryRadiusUpperUnc.[Earthradii' numeric
@attribute 'PlanetaryRadiusLowerUnc.[Earthradii' numeric
@attribute 'EquilibriumTemperature[K' numeric
@attribute 'InsolationFlux[Earthflux' numeric
@attribute 'InsolationFluxUpperUnc.[Earthflux' numeric
@attribute 'InsolationFluxLowerUnc.[Earthflux' numeric
@attribute 'TransitSignal-to-Nois' numeric
@attribute 'TCEPlanetNumbe' numeric
@attribute 'StellarEffectiveTemperature[K' numeric
@attribute 'StellarEffectiveTemperatureUpperUnc.[K' numeric
@attribute 'StellarEffectiveTemperatureLowerUnc.[K' numeric
@attribute 'StellarSurfaceGravity[log10(cm/s**2)' numeric
@attribute 'StellarSurfaceGravityUpperUnc.[log10(cm/s**2)' numeric
@attribute 'StellarSurfaceGravityLowerUnc.[log10(cm/s**2)' numeric
@attribute 'StellarRadius[Solarradii' numeric
@attribute 'StellarRadiusUpperUnc.[Solarradii' numeric
@attribute 'StellarRadiusLowerUnc.[Solarradii' numeric
@attribute 'RA[decimaldegrees' numeric
@attribute 'Dec[decimaldegrees' numeric
@attribute 'Kepler-band[mag]' numeric
@attribute 'ExoplanetCandidate' numeric
@attribute 'ExoplanetConfirmed' numeric

@data
0.0,13.66780903,0,0,134.6559996,0,0,0.212,0,0,2.7993,0,0,128.0,0,0,0.91,0.23,-0.08,705.0,58.32,43.0,-14.91,2.6,1.0,5796.0,155.0,-155.0,4.556,0.044,-0.176,0.807,0.202,-0.072,291.47424,48.026958,14.812,0,0
1.0,15.65563866,3.21e-05,-3.21e-05,170.78358,0.00162,-0.00162,0.304,0.146,-0.303,3.9305,0.0627,-0.0627,956.0,20.8,-20.8,2.55,0.32,-0.31,623.0,35.62,14.99,-11.41,53.2,1.0,5185.0,154.0,-154.0,4.484,0.1,-0.1,0.837,0.104,-0.104,285.9115,41.069439,14.97,1,2
0,571.280892,0.00558,-0.00558,368.0081,0.00656,-0.00656,0.6109,0.0726,-0.4752,21.827,0.332,-0.332,461.0,12.5,-12.5,3.65,2.31,-0.75,324.0,2.62,5.15,-1.21,37.8,1.0,7081.0,193.0,-276.0,4.16,0.129,-0.354,1.619,1.026,-0.33,289.53336,39.836639,12.767,1,1
0.973,24.2758992,0.000243,-0.000243,152.43133,0.00897,-0.00897,0.441,0.505,-0.239,4.59,0.209,-0.209,702.0,45.0,-45.0,2.25,0.56,-0.2,580.0,26.68,20.49,-7.5,17.0,2.0,5745.0,181.0,-201.0,4.559,0.042,-0.168,0.837,0.209,-0.075,296.26456,39.40596,15.48,1,1
0.969,12.5014905,0.000154,-0.000154,142.55934,0.00963,-0.00963,0.43,0.015,-0.43,3.882,0.298,-0.298,220.0,22.3,-22.3,2.24,0.36,-0.44,952.0,194.3,82.18,-75.61,10.8,1.0,5821.0,78.0,-78.0,4.127,0.182,-0.098,1.492,0.241,-0.294,294.01529,42.824371,15.589,1,1
1.0,6.308201629,7.03e-06,-7.03e-06,174.047661,0.000883,-0.000883,0.03,0.383,-0.03,2.9785,0.0323,-0.0323,1330.0,17.3,-17.3,2.96,0.28,-0.1,819.0,106.44,31.16,-15.12,86.2,2.0,5191.0,103.0,-103.0,4.564,0.016,-0.088,0.837,0.078,-0.03,293.0614,43.58136,15.258,1,2
1.0,28.227413,0.00015,-0.00015,141.49504,0.00471,-0.00471,0.025,0.416,-0.025,5.782,0.147,-0.147,1110.0,50.5,-50.5,2.82,0.74,-0.26,565.0,24.03,18.48,-6.73,25.3,1.0,5858.0,157.0,-192.0,4.553,0.035,-0.184,0.849,0.222,-0.079,295.68484,39.256142,15.873,1,2
0.977,253.374581,0.00114,-0.00114,235.74025,0.00357,-0.00357,0.028,0.31,-0.028,22.889,0.124,-0.124,1100.0,12.8,-12.8,19.25,4.98,-11.6,555.0,22.41,17.79,-19.37,99.9,1.0,5177.0,163.0,-181.0,3.216,0.578,-0.193,5.949,1.541,-3.595,296.7236,44.853142,11.893,1,1
1.0,5.83909761,2.02e-05,-2.02e-05,132.09261,0.00291,-0.00291,0.341,0.096,-0.341,3.1915,0.0899,-0.0899,274.0,11.6,-11.6,2.06,0.33,-0.39,1097.0,341.48,153.14,-134.02,25.2,2.0,5553.0,111.0,0.0,4.221,0.188,-0.101,1.25,0.196,-0.24,292.58044,46.097389,15.065,1,2
0.0,8.6532378,0.000136,-0.000136,134.3027,0.0107,-0.0107,0.359,0.088,-0.359,2.974,0.402,-0.402,126.0,18.0,-18.0,0.96,0.12,-0.04,793.0,93.75,32.28,-12.37,9.0,1.0,5561.0,75.0,-83.0,4.561,0.012,-0.108,0.854,0.11,-0.034,289.76437,39.246231,14.815,0,0
